id,genres,popularity,vote_average,vote_count,revenue,budget,runtime
408,"[""Fantasy"",""Animation"",""Family""]",6.11799,6.9,1675,184925486,1488423,83
424,"[""Drama"",""History"",""War""]",6.303825,8.3,3933,321365567,22000000,195
428,"[""Drama"",""Romance""]",0.642829,5.5,4,0,0,97
436,"[""Drama"",""Thriller"",""Crime""]",0.752555,6.9,93,0,0,101
440,"[""Fantasy"",""Action"",""Science Fiction"",""Thriller"",""Horror""]",2.813434,4.8,659,41797066,40000000,94
452,"[""Drama"",""Comedy""]",2.492204,6.6,93,7235,2500000,117
460,"[""Comedy""]",0.235241,6.6,10,0,0,136
464,"[""Romance"",""Drama"",""Comedy"",""Music""]",2.111901,6.9,40,0,0,132
468,"[""Drama"",""Romance""]",0.914189,7,191,0,2500000,104
476,"[""Crime"",""Drama""]",1.407684,7.1,107,4729352,2500000,100
480,"[""Comedy"",""Drama"",""Romance""]",0.950838,6.8,51,0,0,114
488,"[""Adventure"",""War"",""Romance""]",1.237667,7.4,212,10750000,1300000,105
492,"[""Fantasy"",""Drama"",""Comedy""]",2.86966,7.3,1011,22863596,13000000,112
496,"[""Comedy""]",1.914322,6.5,1475,261572744,18000000,82
500,"[""Crime"",""Thriller""]",6.430996,8,3307,14661007,1200000,99
504,"[""Crime"",""Drama""]",2.299649,7,443,60378584,8000000,110
508,"[""Comedy"",""Romance"",""Drama""]",3.016406,7,1760,244931766,40000000,135
512,"[""Comedy"",""Mystery""]",1.74615,6.4,366,31584901,4000000,96
524,"[""Drama"",""Crime""]",2.822833,7.8,1192,116112375,52000000,178
532,"[""Family"",""Animation"",""Comedy""]",2.124566,7.5,204,0,0,30
536,"[""Documentary""]",0.000429,0,0,0,0,60
540,"[""Action""]",1.15062,5.5,79,0,3500000,91
544,"[""Romance"",""Comedy""]",3.740865,6.5,1462,369884651,23000000,119
548,"[""Crime"",""Drama"",""Mystery""]",1.320218,7.9,419,96568,250000,88
552,"[""Drama"",""Comedy"",""Romance""]",1.1262,7,30,0,0,114
560,"[""Crime"",""Drama"",""Thriller""]",0.205922,5.8,18,0,0,99
564,"[""Adventure"",""Action"",""Fantasy""]",6.341938,6.5,2459,415885488,80000000,124
568,"[""Drama""]",4.328198,7.3,1467,355237933,52000000,140
572,"[""Horror"",""Mystery"",""Thriller""]",2.406482,6.6,35,0,2400000,75
576,"[""Adventure"",""Western""]",2.004752,7.6,236,638641,6244087,145
580,"[""Adventure"",""Thriller""]",2.425238,3.5,212,51881013,23000000,89
584,"[""Action"",""Crime"",""Thriller""]",0.73815,6.2,1854,236350661,76000000,107
588,"[""Horror"",""Mystery""]",3.420925,6.3,961,97607453,50000000,125
592,"[""Crime"",""Drama"",""Mystery""]",1.182427,7.5,339,4420000,1600000,113
596,"[""Drama""]",1.819019,7.8,193,0,750000,129
600,"[""Drama"",""War""]",4.96205,7.9,2250,46357676,17000000,116
604,"[""Adventure"",""Action"",""Thriller"",""Science Fiction""]",6.035743,6.7,3189,738599701,150000000,138
608,"[""Action"",""Adventure"",""Comedy"",""Science Fiction""]",7.021347,6,2826,441818803,140000000,88
612,"[""Drama"",""Action"",""History"",""Thriller""]",2.493459,7,649,130358911,70000000,164
616,"[""Drama"",""Action"",""War"",""History""]",5.1462,7.2,1739,456758981,140000000,154
620,"[""Comedy"",""Fantasy""]",4.319432,7.3,2179,295212467,30000000,107
624,"[""Adventure"",""Drama""]",3.067468,7,368,0,360000,95
628,"[""Horror"",""Romance""]",4.939897,7.2,1373,223664608,60000000,123
632,"[""Comedy"",""Drama"",""War""]",1.836432,7.6,133,0,1661530,120
636,"[""Drama"",""Mystery"",""Science Fiction""]",1.459529,6.4,246,2437000,777000,86
640,"[""Drama"",""Crime""]",6.628286,7.7,3440,352114312,52000000,141
644,"[""Drama"",""Science Fiction"",""Adventure""]",4.184777,6.8,1820,235926552,100000000,146
648,"[""Drama"",""Fantasy"",""Romance""]",1.175394,7.7,114,0,0,96
652,"[""Adventure"",""Drama"",""War""]",5.880928,6.8,2477,497409852,175000000,163
660,"[""Adventure"",""Action"",""Thriller""]",3.183847,6.5,522,141195658,5500000,130
664,"[""Action"",""Adventure"",""Drama""]",3.23512,6.1,880,494471524,92000000,113
668,"[""Adventure"",""Action"",""Thriller""]",3.107821,6.5,422,81974493,6500000,142
672,"[""Adventure"",""Fantasy"",""Family""]",10.946574,7.3,5131,876688482,100000000,161
676,"[""History"",""Romance"",""War""]",3.907065,6.5,1618,449220945,140000000,183
680,"[""Thriller"",""Crime""]",9.153884,8.2,7702,213928762,8000000,154
688,"[""Drama"",""Romance""]",1.874105,7.2,340,182016617,24000000,135
692,"[""Comedy"",""Crime""]",0.929191,6.2,99,6000000,12000,93
696,"[""Comedy"",""Drama"",""Romance""]",2.143606,7.7,527,39946780,0,96
700,"[""Adventure"",""Action"",""Thriller""]",4.564595,6.2,490,187500000,27500000,131
704,"[""Comedy"",""Music""]",1.089671,7.3,157,12299668,560000,88
708,"[""Action"",""Adventure"",""Thriller""]",3.671989,6.2,407,191185897,40000000,130
712,"[""Comedy"",""Drama"",""Romance""]",2.480455,6.6,578,254700832,6000000,117
744,"[""Action"",""Romance"",""War""]",2.801627,6.7,1552,356830601,15000000,110
752,"[""Action"",""Thriller"",""Fantasy""]",7.439884,7.7,4054,132511035,54000000,132
756,"[""Animation"",""Family"",""Music""]",2.25561,7.1,721,83320000,2280000,124
760,"[""Comedy""]",1.602848,7.1,145,0,0,100
764,"[""Horror""]",3.355032,7.3,817,29400000,350000,85
768,"[""Horror"",""Mystery"",""Thriller""]",1.847754,6.6,665,74558115,35000000,122
772,"[""Comedy"",""Family"",""Adventure"",""Crime""]",5.457605,6.3,2166,358991681,18000000,120
776,"[""Drama"",""Comedy"",""Romance""]",1.287147,7.7,100,0,8847685,110
780,"[""Drama"",""History""]",0.719289,8.1,139,0,0,82
784,"[""Music"",""Drama"",""Comedy""]",0.315208,7.6,43,5770254,0,105
788,"[""Comedy"",""Drama"",""Family""]",3.290654,7,1419,441286195,25000000,125
792,"[""Drama"",""War"",""Action""]",3.471945,7.5,1118,138530565,6000000,120
796,"[""Drama"",""Romance"",""Thriller""]",1.945898,6.6,762,75902208,10500000,97
800,"[""Crime"",""Drama""]",0.603937,7.7,61,0,0,85
804,"[""Comedy"",""Romance""]",3.1528,7.8,439,12000000,1500000,119
808,"[""Adventure"",""Animation"",""Comedy"",""Family"",""Fantasy""]",8.131009,7.3,3592,484409218,60000000,90
812,"[""Animation"",""Family"",""Comedy"",""Adventure"",""Fantasy"",""Romance""]",6.253894,7.4,3088,504050219,28000000,90
816,"[""Science Fiction"",""Comedy"",""Crime""]",1.515623,6.5,941,67683989,16500000,94
820,"[""Drama"",""Thriller"",""History""]",1.988542,7.5,456,205405498,40000000,189
824,"[""Drama"",""Music"",""Romance""]",3.888953,7.3,1164,179213434,52500000,127
828,"[""Drama"",""Science Fiction"",""Thriller""]",2.404249,7.3,297,0,1200000,92
832,"[""Drama"",""Action"",""Thriller"",""Crime""]",2.163723,7.9,414,0,0,117
836,"[""Drama"",""Foreign"",""Romance""]",0.206292,6.6,15,0,0,115
